,Question,Answer
10,"
            A: How can I print literal curly-brace characters in python string and also use .format on it?
        ","1996 You need to double the {{ and }}: >>> x = "" {{ Hello }} {0} "" >>> print(x.format(42)) ' { Hello } 42 ' Here's the relevant part of the Python documentation for format string syntax: Format strings contain “replacement fields” surrounded by curly braces {}. Anything that is not contained in braces is considered literal text, which is copied unchanged to the output. If you need to include a brace character in the literal text, it can be escaped by doubling: {{ and }}. share|| follow |||| edited Jan 17 at 0:14 Boris 3,47744 gold badges3030 silver badges4141 bronze badges answered Mar 29 '11 at 0:08 Greg HewgillGreg Hewgill 754k163163 gold badges10621062 silver badges12081208 bronze badges 255 So if you want to print ""{42}"", you'd use ""{{{0}}}"".format(42) ! – hughes Jul 24 '13 at 20:21 7 What about if you want a single curly brace? ""{ something { } {value}"".format(42) doesn't work. – AJP Oct 2 '13 at 10:10 14 ""{{"".format() and ""}}"".format() print single curly braces. In your example: print ""{{ something {{ }} {0}"".format(42) will print ""{ something { } 42"". – Mark Visser Oct 18 '13 at 21:19 1 What does the {0} mean? – CodyBugstein Feb 21 '14 at 1:27 5 @Imray: {0} refers to the first argument to .format(). You can print more than one value like {0} {1} {2} as long as you give the same number of arguments to .format(). See docs.python.org/library/string.html#format-examples for extensive examples. – Greg Hewgill Feb 21 '14 at 1:30 | show 8 more comments"
11,"
Q: Selenium using Python - Geckodriver executable needs to be in PATH        ","336 selenium.common.exceptions.WebDriverException: Message: 'geckodriver' executable needs to be in PATH. First of all you will need to download latest executable geckodriver from here to run latest firefox using selenium Actually The Selenium client bindings tries to locate the geckodriver executable from the system PATH. You will need to add the directory containing the executable to the system path. On Unix systems you can do the following to append it to your system’s search path, if you’re using a bash-compatible shell: export PATH=$PATH:/path/to/directory/of/executable/downloaded/in/previous/step On Windows you will need to update the Path system variable to add the full directory path to the executable geckodriver manually or command line(don't forget to restart your system after adding executable geckodriver into system PATH to take effect). The principle is the same as on Unix. Now you can run your code same as you're doing as below :- from selenium import webdriver browser = webdriver.Firefox() selenium.common.exceptions.WebDriverException: Message: Expected browser binary location, but unable to find binary in default location, no 'moz:firefoxOptions.binary' capability provided, and no binary flag set on the command line Exception clearly states you have installed firefox some other location while Selenium is trying to find firefox and launch from default location but it couldn't find. You need to provide explicitly firefox installed binary location to launch firefox as below :- from selenium import webdriver from selenium.webdriver.firefox.firefox_binary import FirefoxBinary binary = FirefoxBinary('path/to/installed firefox binary') browser = webdriver.Firefox(firefox_binary=binary) share|| follow |||| edited Oct 24 '16 at 3:12 answered Oct 23 '16 at 23:16 Saurabh GaurSaurabh Gaur 19.3k77 gold badges3333 silver badges6161 bronze badges 6 Thanks but I set the my geckodriver.exe on the C:\Python\Python35\selenium directory and I set the path like you described but it's giving me the error below: – tadm123 Oct 24 '16 at 2:57 3 Thanks @Saurabh Gaur, it's working now. I added the path of Firefox to the system variables manually and it's all working. Takes a little bit of time to launch but I'm guessing that's normal. Thanks! – tadm123 Oct 24 '16 at 3:28 3 I got the error ""WebDriverException: Message: Failed to start browser: permission denied"" at first when I started specifying the firefox binary path, but restarting the computer (Windows 10) resolved the problem. - Just in case anyone else is hitting the same problem as me. – NoSuchElephantException Nov 3 '16 at 19:46 2 What is the binary? Does that mean executable? – User Dec 8 '16 at 8:24 12 In addition to this answer, I would like to expand on setting the PATH in unix environment. You can set it in code since you don't need it system wide: os.environ[""PATH""] += os.pathsep + 'path/to/dir/containing/geckodriver/' Or simply keep the geckodriver binary in the directory that is already in your path: mv geckodriver /usr/local/bin – dsalaj Mar 23 '17 at 7:47 | show 8 more comments"
12,"
Q: Combine two columns of text in dataframe in pandas/python        ","479 if both columns are strings, you can concatenate them directly: df[""period""] = df[""Year""] + df[""quarter""] If one (or both) of the columns are not string typed, you should convert it (them) first, df[""period""] = df[""Year""].astype(str) + df[""quarter""] Beware of NaNs when doing this! If you need to join multiple string columns, you can use agg: df['period'] = df[['Year', 'quarter', ...]].agg('-'.join, axis=1) Where ""-"" is the separator. share|| follow |||| edited Feb 5 at 5:18 cs95 203k4545 gold badges323323 silver badges392392 bronze badges answered Oct 15 '13 at 10:09 silvadosilvado 9,35822 gold badges2525 silver badges4444 bronze badges 13 Is it possible to add multiple columns together without typing out all the columns? Let's say add(dataframe.iloc[:, 0:10]) for example? – Heisenberg May 9 '15 at 19:15 5 @Heisenberg That should be possible with the Python builtin sum. – silvado May 11 '15 at 11:06 6 @silvado could you please make an example for adding multiple columns? Thank you – c1c1c1 Oct 25 '16 at 16:45 6 Be careful, you need to apply map(str) to all columns that are not string in the first place. if quarter was a number you would do dataframe[""period""] = dataframe[""Year""].map(str) + dataframe[""quarter""].map(str) map is just applying string conversion to all entries. – Ozgur Ozturk Feb 1 '17 at 21:17 10 This solution can create problems iy you have nan values, e careful – user2270655 Dec 27 '17 at 17:14 | show 8 more comments"
13,"
Q: How do I run Python code from Sublime Text 2?        ","370 Tools -> Build System -> (choose) Python then: To Run: Tools -> Build -or- Ctrl + B CMD + B (OSX) This would start your file in the console which should be at the bottom of the editor. To Stop: Ctrl + Break or Tools -> Cancel Build Fn + C (OSX) You can find out where your Break key is here: http://en.wikipedia.org/wiki/Break_key. Note: CTRL + C will NOT work. What to do when Ctrl + Break does not work: Go to: Preferences -> Key Bindings - User and paste the line below: {""keys"": [""ctrl+shift+c""], ""command"": ""exec"", ""args"": {""kill"": true} } Now, you can use ctrl+shift+c instead of CTRL+BREAK share|| follow |||| edited Jan 13 '18 at 20:57 Community♦ 111 silver badge answered Dec 18 '11 at 13:49 matiitmatiit 7,32455 gold badges3535 silver badges6464 bronze badges 9 sublime text can also ""auto detect"" the language. So it worked for me to just CTRL + B – Alexis Mar 3 '12 at 4:31 4 Make sure python is in your PATH... the windows installer doesn't seem to do this automagically – SeanJA May 15 '12 at 23:07 2 how do you stop running program (python)? – Ib33X Jun 1 '12 at 15:25 3 My keyboard's break key looks like ""Pause/Break"", so to stop process I also added {""keys"": [""pause""], ""command"": ""exec"", ""args"": {""kill"": true} } – icy Aug 15 '13 at 16:14 3 Having the line {""keys"": [""ctrl+shift+c""], ""command"": ""exec"", ""args"": {""kill"": true} } in User key bindings and using ctrl+shift+c prints that the build is [Cancelled] while the program still being run. – Devi Dec 18 '13 at 10:14 | show 2 more comments"
14,"
            A: Is there a way to create multiline comments in Python?
        ","1786 You can use triple-quoted strings. When they're not a docstring (the first thing in a class/function/module), they are ignored. ''' This is a multiline comment. ''' (Make sure to indent the leading ''' appropriately to avoid an IndentationError.) Guido van Rossum (creator of Python) tweeted this as a ""pro tip"". However, Python's style guide, PEP8, favors using consecutive single-line comments, and this is also what you'll find in many projects. Text editors usually have a shortcut to do this easily. share|| follow |||| edited Feb 3 at 16:56 Peter Mortensen 25.5k2121 gold badges9090 silver badges118118 bronze badges answered Oct 8 '11 at 12:58 Petr ViktorinPetr Viktorin 52.9k55 gold badges6565 silver badges7474 bronze badges 15 Hm. I put a huge multiline string in a python script test.py just to see. When I do import test, a test.pyc file is generated. Unfortunately, the pyc file is huge and contains the entire string as plain text. Am I misunderstanding something, or is this tweet incorrect? – unutbu Oct 8 '11 at 13:18 23 @unutbu, if it was the only thing in the file, it was a docstring. Put some code before it and it'll disappear from the pyc. I edited the answer and put „module“ to the list of things that have docstrings. – Petr Viktorin Oct 8 '11 at 13:21 31 I don't like multiline string as comments. Syntax highlighting marks them as strings, not as comments. I like to use a decent editor that automatically deals with commenting out regions and wrapping multiline comments while I type. Of course, it's a matter of taste. – Sven Marnach Oct 8 '11 at 13:31 61 As a convention I find it helpful to use """""" for docstrings and ''' for block comments. In this manner you can wrap ''' around your usual docstrings without conflict. – Roshambo Dec 18 '12 at 20:03 18 While you can use multi-line strings as multi-line comments, I'm surprised that none of these answers refer to the PEP 8 subsection that specifically recommends constructing multi-line comments from consecutive single-line comments, with blank # lines to distinguish paragraphs. – Air May 21 '14 at 19:32 | show 19 more comments"
15,"
Q: Extracting text from HTML file using Python        ","134 html2text is a Python program that does a pretty good job at this. share|| follow |||| edited Jun 30 '18 at 20:54 Alireza Savand 3,16522 gold badges2121 silver badges3636 bronze badges answered Nov 30 '08 at 3:23 RexERexE 13.9k1414 gold badges5151 silver badges7575 bronze badges 5 bit it's gpl 3.0 which means it may be incompatible – frog32 Nov 7 '12 at 10:35 136 Amazing! it's author is RIP Aaron Swartz. – Atul Arvind Aug 10 '13 at 7:42 2 Did anyone find any alternatives to html2text because of GPL 3.0? – jontsai Sep 5 '14 at 1:21 1 GPL not as bad as people want it to be. Aaron knew best. – stevek Oct 13 '14 at 10:59 2 I tried both html2text and nltk but they didn't work for me. I ended up going with Beautiful Soup 4, which works beautifully (no pun intended). – Ryan Apr 30 '15 at 18:58 | show 3 more comments"
16,"
Q: Python argparse: How to insert newline in the help text?        ","383 Try using RawTextHelpFormatter: from argparse import RawTextHelpFormatter parser = ArgumentParser(description='test', formatter_class=RawTextHelpFormatter) share|| follow |||| edited Jul 23 '18 at 19:23 akhan 2,25622 gold badges1515 silver badges1010 bronze badges answered Oct 4 '10 at 8:49 Michał KwiatkowskiMichał Kwiatkowski 7,04111 gold badge2121 silver badges2020 bronze badges 6 I think it's not. You could subclass it, but unfortunately Only the name of this class is considered a public API. All the methods provided by the class are considered an implementation detail. So probably not a great idea, although it might not matter, since 2.7 is meant to be the last 2.x python and you'll be expected to refactor lots of things for 3.x anyway. I'm actually running 2.6 with argparse installed via easy_install so that documentation may itself be out of date. – intuited Oct 4 '10 at 9:00 3 Some links: for python 2.7, and python 3.*. The 2.6 package should, according to its wiki, comply with the official 2.7 one. From the doc: ""Passing RawDescriptionHelpFormatter as formatter_class= indicates that description and epilog are already correctly formatted and should not be line-wrapped"" – Stefano Nov 21 '11 at 15:34 80 Try instead formatter_class=RawDescriptionHelpFormatter which only works on description and epilog rather than help text. – MarkHu May 24 '14 at 4:47 3 I have noticed that even with RawTextHelpFormatter, leading and trailing newlines are removed. To work around this, you can simply add two or more consecutive newlines; all but one newline will survive. – MrMas Mar 18 '16 at 16:04 10 You can combine formatters too, e.g. class Formatter( argparse.ArgumentDefaultsHelpFormatter, argparse.RawDescriptionHelpFormatter): pass and then formatter_class=Formatter. – Terry Brown Jul 28 '16 at 16:44 | show 2 more comments"
17,"
            A: How to print colored text in terminal in Python?
        ","1789 This somewhat depends on what platform you are on. The most common way to do this is by printing ANSI escape sequences. For a simple example, here's some python code from the blender build scripts: class bcolors: HEADER = '\033[95m' OKBLUE = '\033[94m' OKGREEN = '\033[92m' WARNING = '\033[93m' FAIL = '\033[91m' ENDC = '\033[0m' BOLD = '\033[1m' UNDERLINE = '\033[4m' To use code like this, you can do something like print(bcolors.WARNING + ""Warning: No active frommets remain. Continue?"" + bcolors.ENDC) or, with Python3.6+: print(f""{bcolors.WARNING}Warning: No active frommets remain. Continue?{bcolors.ENDC}"") This will work on unixes including OS X, linux and windows (provided you use ANSICON, or in Windows 10 provided you enable VT100 emulation). There are ansi codes for setting the color, moving the cursor, and more. If you are going to get complicated with this (and it sounds like you are if you are writing a game), you should look into the ""curses"" module, which handles a lot of the complicated parts of this for you. The Python Curses HowTO is a good introduction. If you are not using extended ASCII (i.e. not on a PC), you are stuck with the ascii characters below 127, and '#' or '@' is probably your best bet for a block. If you can ensure your terminal is using a IBM extended ascii character set, you have many more options. Characters 176, 177, 178 and 219 are the ""block characters"". Some modern text-based programs, such as ""Dwarf Fortress"", emulate text mode in a graphical mode, and use images of the classic PC font. You can find some of these bitmaps that you can use on the Dwarf Fortress Wiki see (user-made tilesets). The Text Mode Demo Contest has more resources for doing graphics in text mode. Hmm.. I think got a little carried away on this answer. I am in the midst of planning an epic text-based adventure game, though. Good luck with your colored text! share|| follow |||| edited Dec 10 '19 at 19:35 Richard 37.8k2222 gold badges124124 silver badges193193 bronze badges answered Nov 13 '08 at 19:25 joeldjoeld 20.7k33 gold badges2323 silver badges2222 bronze badges 6 what's the disabled used for? – cregox May 11 '10 at 21:58 3 @Cawas It looks to me like it is for disabling coloring for all colors which are printed using a particular bcolors instance. For example, you could create a bcolors instance and then use the member variables of the instance to print out your coloring characters, but then if you decided you no longer wanted coloring, you could call disable before printing out the characters and they would just print out as empty strings. – Steven Oxley Jun 15 '10 at 18:42 4 On Linux, you might want to use tput, like so since it results in more portable code. – Martin Ueding Nov 3 '12 at 11:04 3 @Cawas: A real use case for disable is when you pipe the output to a file; while tools like cat may support colors, it is generally better to not print color information to files. – Sebastian Mach Apr 9 '14 at 6:27 1 @AlexanderSimko, here's a ctypes code snippet to enable VT100 support in Windows 10: import ctypes; kernel32 = ctypes.WinDLL('kernel32'); hStdOut = kernel32.GetStdHandle(-11); mode = ctypes.c_ulong(); kernel32.GetConsoleMode(hStdOut, ctypes.byref(mode)); mode.value |= 4; kernel32.SetConsoleMode(hStdOut, mode). – Eryk Sun Sep 1 '16 at 23:38 | show 15 more comments"
18,"
Q: Rotate axis text in python matplotlib        ","490 This works for me: plt.xticks(rotation=90) share|| follow |||| answered Jun 8 '16 at 16:36 scottlittlescottlittle 9,80244 gold badges3434 silver badges5454 bronze badges 6 In case anyone else is using mpld3, and is frustrated about none of these solutions working. Rotation is not supported in mpld3. – beetree Sep 30 '18 at 0:39 4 Extra points for making these stay inside the figure/window. Mine are half outside. – Gauthier Oct 20 '18 at 13:50 Call this after plotting. Ie, first ax.plot(...) then plt.xticks(rotation=90) – CGFoX Mar 1 at 16:25 add a comment |"
19,"
            A: UnicodeEncodeError: 'ascii' codec can't encode character u'\xa0' in position 20: ordinal not…
        ","1350 You need to read the Python Unicode HOWTO. This error is the very first example. Basically, stop using str to convert from unicode to encoded text / bytes. Instead, properly use .encode() to encode the string: p.agent_info = u' '.join((agent_contact, agent_telno)).encode('utf-8').strip() or work entirely in unicode. share|| follow |||| edited Oct 4 '17 at 22:59 answered Mar 30 '12 at 12:21 agfagf 133k3030 gold badges253253 silver badges217217 bronze badges 23 agreed! a good rule of thumb I was taught is to use the ""unicode sandwich"" idea. Your script accepts bytes from the outside world, but all processing should be done in unicode. Only when you are ready to output your data should it be mushed back into bytes! – Andbdrew Mar 30 '12 at 12:29 252 In case someone else gets confused by this, I found a strange thing: my terminal uses utf-8, and when I print my utf-8 strings it works nicely. However when I pipe my programs output to a file, it throws a UnicodeEncodeError. In fact, when output is redirected (to a file or a pipe), I find that sys.stdout.encoding is None! Tacking on .encode('utf-8') solves the problem. – drevicko Dec 18 '12 at 8:15 93 @drevicko: use PYTHONIOENCODING=utf-8 instead i.e., print Unicode strings and let the environment to set the expected encoding. – jfs Dec 21 '13 at 3:51 1 @steinar: nothing is valid in every case. In general, a user shouldn't care that you use Python to implement your utility (the interface shouldn't change if you decide to reimplement it in another language for whatever reason) and therefore you should not expect that user even aware about python-specific envvars. It is bad UI to force user to specify character encoding; embed the character encoding in the report format if necessary. Note: no hardcoded encoding can be ""sensible default"" in the general case. – jfs Nov 25 '15 at 10:24 13 This is bad and confusing advice. The reason people use str is because the object IS NOT already a string, so there's no .encode() method to call. – Cerin Oct 5 '16 at 17:59 | show 14 more comments"
20,"
Q: UnicodeDecodeError: 'charmap' codec can't decode byte X in position Y: character maps to <un…        ","908 The file in question is not using the CP1252 encoding. It's using another encoding. Which one you have to figure out yourself. Common ones are Latin-1 and UTF-8. Since 0x90 doesn't actually mean anything in Latin-1, UTF-8 (where 0x90 is a continuation byte) is more likely. You specify the encoding when you open the file: file = open(filename, encoding=""utf8"") share|| follow |||| edited Sep 5 '17 at 13:05 fat 4,40033 gold badges3434 silver badges5656 bronze badges answered Feb 10 '12 at 18:53 Lennart RegebroLennart Regebro 133k3636 gold badges197197 silver badges235235 bronze badges 19 Cool, I had that problem with some Python 2.7 code that I tried to run in Python 3.4. Latin-1 worked for me! – 1vand1ng0 Apr 14 '15 at 8:56 2 if you're using Python 2.7, and getting the same error, try the io module: io.open(filename,encoding=""utf8"") – christopherlovell Jun 3 '15 at 14:02 8 @1vand1ng0: of course Latin-1 works; it'll work for any file regardless of what the actual encoding of the file is. That's because all 256 possible byte values in a file have a Latin-1 codepoint to map to, but that doesn't mean you get legible results! If you don't know the encoding, even opening the file in binary mode instead might be better than assuming Latin-1. – Martijn Pieters♦ Mar 6 '17 at 14:10 1 It is unicode by default, but unicode is not an encoding. regebro.wordpress.com/2011/03/23/… – Lennart Regebro Feb 16 '18 at 16:16 1 filename = ""C:\Report.txt"" with open(filename,encoding =""utf8"") as my_file: text = my_file.read() print(text) even after using this I am getting the same error. I have also tried with other encoding but all in vain. In this code I am also using from geotext import GeoText. Please suggest a solution. – Salah Jun 4 '18 at 14:37 | show 8 more comments"
21,"
Q: Python Text Editor(Very Basic)        ","2 The error is pretty explicit: TypeError: coercing to Unicode: need string or buffer, NoneType found More specifically, that ""NoneType"" found indicates that the open method was expecting a unicode string, but you handed it None. Looks like you're hitting a code path where the global filename variable (terrible choice to use a global, by the way) isn't set. I'm not going to debug for you but this should give you a pointer in the right direction. It's just a bug in your code, not an issue with Tkinter or the interpreter. share|| follow |||| answered Jan 4 '16 at 6:55 Chris TavaresChris Tavares 22.1k33 gold badges3939 silver badges6060 bronze badges add a comment |"
22,"
Q: Python script to copy text to clipboard [duplicate]        ","166 See Pyperclip. Example (taken from Pyperclip site): import pyperclip pyperclip.copy('The text to be copied to the clipboard.') spam = pyperclip.paste() Also, see Xerox. But it appears to have more dependencies. share|| follow |||| edited Oct 4 '18 at 17:15 vauhochzett 38833 silver badges1717 bronze badges answered Jun 16 '12 at 12:35 robertrobert 26.4k88 gold badges4848 silver badges6868 bronze badges 2 I tried it on my system, and .setcb doesn't work, but .copy does. I'm using pyperclip 1.5.4 on py 2.7. Just in case someone runs into the same problems - and @robert, I'd love to hear why this syntax works on your system but doesn't on mine. – Vincent Tjeng Sep 28 '14 at 18:20 1 .copy seems to be the offical one. github.com/asweigart/pyperclip – fnkr Oct 17 '14 at 19:50 @VincentTjeng updated – robert Oct 24 '14 at 20:59 If the copied text doesn't persist after running from the script, refer to this issue for the solution. – xtluo Jun 10 '19 at 7:28 add a comment |"
23,"
            A: Print string to text file
        ","1191 text_file = open(""Output.txt"", ""w"") text_file.write(""Purchase Amount: %s"" % TotalAmount) text_file.close() If you use a context manager, the file is closed automatically for you with open(""Output.txt"", ""w"") as text_file: text_file.write(""Purchase Amount: %s"" % TotalAmount) If you're using Python2.6 or higher, it's preferred to use str.format() with open(""Output.txt"", ""w"") as text_file: text_file.write(""Purchase Amount: {0}"".format(TotalAmount)) For python2.7 and higher you can use {} instead of {0} In Python3, there is an optional file parameter to the print function with open(""Output.txt"", ""w"") as text_file: print(""Purchase Amount: {}"".format(TotalAmount), file=text_file) Python3.6 introduced f-strings for another alternative with open(""Output.txt"", ""w"") as text_file: print(f""Purchase Amount: {TotalAmount}"", file=text_file) share|| follow |||| edited May 2 '17 at 3:57 answered Mar 7 '11 at 0:34 John La RooyJohn La Rooy 239k4545 gold badges315315 silver badges458458 bronze badges 2 Assuming TotalAmount is an integer, shouldn't the ""%s"" be a ""%d""? – Rui Curado Aug 22 '13 at 10:46 6 @RuiCurado, if TotalAmount is an int, either %d or %s will do the same thing. – John La Rooy Aug 22 '13 at 10:54 2 Great answer. I'm seeing a syntax error with a nearly identical use case: with . . .: print('{0}'.format(some_var), file=text_file) is throwing: SyntaxError: invalid syntax at the equal sign... – nicorellius Apr 6 '16 at 19:51 4 @nicorellius, if you wish to use that with Python2.x you need to put from __future__ import print_function at the top of the file. Note that this will transform all of the print statements in the file to the newer function calls. – John La Rooy Apr 6 '16 at 20:48 To make sure know what the variable type is often convert it to make sure, ex: ""text_file.write('Purchase Amount: %s' % str(TotalAmount))"" which will work with lists, strings, floats, ints, and anything else that is convertable to a string. – EBo Sep 9 '16 at 11:19 | show 4 more comments"
24,"
Q: Python concatenate text files        ","247 This should do it For large files: filenames = ['file1.txt', 'file2.txt', ...] with open('path/to/output/file', 'w') as outfile: for fname in filenames: with open(fname) as infile: for line in infile: outfile.write(line) For small files: filenames = ['file1.txt', 'file2.txt', ...] with open('path/to/output/file', 'w') as outfile: for fname in filenames: with open(fname) as infile: outfile.write(infile.read()) … and another interesting one that I thought of: filenames = ['file1.txt', 'file2.txt', ...] with open('path/to/output/file', 'w') as outfile: for line in itertools.chain.from_iterable(itertools.imap(open, filnames)): outfile.write(line) Sadly, this last method leaves a few open file descriptors, which the GC should take care of anyway. I just thought it was interesting share|| follow |||| edited Aug 16 '13 at 6:06 answered Nov 28 '12 at 19:57 inspectorG4dgetinspectorG4dget 86.8k1919 gold badges113113 silver badges208208 bronze badges 9 This will, for large files, be very memory inefficient. – Gareth Latty Nov 28 '12 at 20:06 1 @inspectorG4dget: I wasn't asking you, I was asking eyquem, who complained that your solution wasn't going to be efficient. I'm willing to bet it's more than efficient enough for the OP's use case, and for whatever use case eyquem has in mind. If he thinks it isn't, it's his responsibility to prove that before demanding that you optimize it. – abarnert Nov 28 '12 at 21:16 1 what are we considering a large file to be? – Dee Aug 2 '15 at 22:55 2 @dee: a file so large that it's contents don't fit into main memory – inspectorG4dget Aug 2 '15 at 22:59 5 Just to reiterate: this is the wrong answer, shutil.copyfileobj is the right answer. – Paul Crowley Apr 5 '17 at 17:05 | show 13 more comments"
